C_HLEVEL	C_FULLNAME	C_NAME	C_SYNONYM_CD	C_VISUALATTRIBUTES	C_TOTALNUM	C_BASECODE	C_METADATAXML	C_FACTTABLECOLUMN	C_TABLENAME	C_COLUMNNAME	C_COLUMNDATATYPE	C_OPERATOR	C_DIMCODE	C_COMMENT	C_TOOLTIP	M_APPLIED_PATH	UPDATE_DATE	DOWNLOAD_DATE	IMPORT_DATE	SOURCESYSTEM_CD	VALUETYPE_CD	M_EXCLUSION_CD	C_PATH	C_SYMBOL
2	\ACT\Demographics\Sex\	Sex	N	FA 		 		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Sex\		Demographics \ Sex	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Sex\Ambiguous\	Ambiguous	N	LA 		DEM|SEX:A		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Sex\Ambiguous\		Demographics \ Sex \ Ambiguous	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Sex\Other\	Other	N	LA 		DEM|SEX:OT		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Sex\Other\		Demographics \ Sex \ Other	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Sex\No Information\	No Information	N	LA 		DEM|SEX:NI		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Sex\No Information\		Demographics \ Sex \ No Information	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Sex\Female\	Female	N	LA 		DEM|SEX:F		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Sex\Female\		Demographics \ Sex \ Female	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Sex\Male\	Male	N	LA 		DEM|SEX:M		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Sex\Male\		Demographics \ Sex \ Male	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Sex\Unknown\	Unknown	N	LA 		DEM|SEX:UN		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Sex\Unknown\		Demographics \ Sex \ Unknown	@	24-MAY-21	24-MAY-21	24-MAY-21				
2	\ACT\Demographics\Hispanic\	Hispanic	N	FA 		 		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Hispanic\		Demographics \ Hispanic	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Hispanic\No Information\	No Information	N	MA 		DEM|HISP:NI		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Hispanic\No Information\		Demographics \ Hispanic \ No Information	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Hispanic\Yes\	Yes	N	MA 		DEM|HISP:Y		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Hispanic\Yes\		Demographics \ Hispanic \ Yes	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Hispanic\No\	No	N	MA 		DEM|HISP:N		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Hispanic\No\		Demographics \ Hispanic \ No	@	24-MAY-21	24-MAY-21	24-MAY-21				
3	\ACT\Demographics\Hispanic\Refuse to answer\	Refuse to answer	N	MA 		DEM|HISP:R		concept_cd	concept_dimension	concept_path	T	LIKE	\ACT\Demographics\Hispanic\Refuse to answer\		Demographics \ Hispanic \ Refuse to answer	@	24-MAY-21	24-MAY-21	24-MAY-21				
